rank,participant,C1,C2,C3,C4,C5,C6,C7,score
1,Метод Лаб,25,20,14,15,9,9,4,96
2,ITSumma,24,20,15,15,9,7,4,94
3,Перфоманс Лаб,20,19,15,13,10,10,4,91
4,SimbirSoft,22,19,15,13,8,8,4,89
5,IBS,19,18,15,13,10,8,5,88
6,КодИТ,25,16,11,14,10,8,3,87
7,Инфосистемы Джет,17,19,15,13,10,8,5,87
8,Тест-сервис,23,17,9,15,8,9,4,85
9,Рамева,21,18,15,14,7,6,3,84
10,OpenAdmins,22,18,8,14,7,8,5,82
11,RDN Group,18,18,14,12,6,7,4,79
12,iFellow,16,16,13,12,9,8,4,78
13,Bell Integrator,16,15,13,11,9,8,5,77
14,Sibdev,18,17,13,12,5,6,4,75
15,HiLoad.ru,15,14,10,13,7,8,5,72
